"pop" "Latitude" "Longitude" "ind"
"168" "New Grounds Shoal" 24.66314 -82.44994 "105.bam"
"169" "New Grounds Shoal" 24.66314 -82.44994 "86.bam"
"170" "Pelican Patch" 24.5292 -81.64182 "286.bam"
"171" "Pelican Patch" 24.5292 -81.64182 "260.bam"
"172" "Pelican Patch" 24.5292 -81.64182 "276.bam"
"173" "Pelican Patch" 24.5292 -81.64182 "259.bam"
"174" "Pelican Shoal" 24.50023 -81.6292 "299.bam"
"175" "Pelican Shoal" 24.50023 -81.6292 "280.bam"
"176" "Pelican Shoal" 24.50023 -81.6292 "300.bam"
"177" "Pelican Shoal" 24.50023 -81.6292 "298.bam"
"178" "Pelican Shoal" 24.50023 -81.6292 "296.bam"
"179" "Pelican Shoal" 24.50023 -81.6292 "288.bam"
"180" "Pelican Shoal" 24.50023 -81.6292 "297.bam"
"181" "Pickles Reef" 24.97854 -80.42764 "521_1.bam"
"182" "Pickles Reef" 24.97854 -80.42764 "524_1.bam"
"183" "Pickles Reef" 24.97854 -80.42764 "520_1.bam"
"184" "Pickles Reef" 24.97854 -80.42764 "523_1.bam"
"185" "Rebecca Shoals" 24.57434 -82.59091 "2.bam"
"186" "Rebecca Shoals" 24.57434 -82.59091 "1.bam"
"187" "Runway Deep" 24.88458 -80.55431 "463.bam"
"188" "Runway Deep" 24.88458 -80.55431 "479.bam"
"189" "Runway Deep" 24.88458 -80.55431 "478.bam"
"190" "Runway Deep" 24.88458 -80.55431 "462.bam"
"191" "Runway Deep" 24.88458 -80.55431 "461.bam"
"192" "Runway Deep" 24.88458 -80.55431 "476.bam"
"193" "Runway Deep" 24.88458 -80.55431 "480.bam"
"194" "Satan Shoal" 24.45989 -81.98913 "136.bam"
"195" "Satan Shoal" 24.45989 -81.98913 "156.bam"
"196" "Satan Shoal" 24.45989 -81.98913 "133.bam"
"197" "Satan Shoal" 24.45989 -81.98913 "131.bam"
"198" "Satan Shoal" 24.45989 -81.98913 "134.bam"
"199" "Satan Shoal" 24.45989 -81.98913 "137.bam"
"200" "Satan Shoal" 24.45989 -81.98913 "132.bam"
"201" "Sombrero Key" 24.69467 -81.11673 "375.bam"
"202" "Sombrero Key" 24.69467 -81.11673 "396.bam"
"203" "Sombrero Key" 24.69467 -81.11673 "385.bam"
"204" "Sombrero Key" 24.69467 -81.11673 "395.bam"
"205" "Sombrero Key" 24.69467 -81.11673 "397.bam"
"206" "SS Benwood" 25.04961 -80.33807 "575.bam"
"207" "SS Benwood" 25.04961 -80.33807 "576.bam"
"208" "SS Benwood" 25.04961 -80.33807 "579.bam"
"209" "SS Benwood" 25.04961 -80.33807 "578.bam"
"210" "Tennessee Deep" 24.75395 -80.75471 "427.bam"
"211" "Tennessee Deep" 24.75395 -80.75471 "429.bam"
"212" "Tennessee Deep" 24.75395 -80.75471 "428.bam"
"213" "Tennessee Deep" 24.75395 -80.75471 "426.bam"
"214" "Triangles" 25.00864 -80.43298 "552.bam"
"215" "Triangles" 25.00864 -80.43298 "551.bam"
"216" "Triangles" 25.00864 -80.43298 "550.bam"
"217" "Triangles" 25.00864 -80.43298 "553.bam"
"218" "Triumph Reef" 25.4805 -80.1177 "747.bam"
"219" "Triumph Reef" 25.4805 -80.1177 "748.bam"
"220" "Triumph Reef" 25.4805 -80.1177 "749.bam"
"221" "Triumph Reef" 25.4805 -80.1177 "746.bam"
"222" "Triumph Reef" 25.4805 -80.1177 "750.bam"
"223" "Turtle Harbor" 25.28802 -80.23137 "671.bam"
"224" "Turtle Harbor" 25.28802 -80.23137 "672.bam"
